"DATE ","EXPIRY DATE ","OPTION TYPE ","STRIKE PRICE ","OPEN PRICE ","HIGH PRICE ","LOW PRICE ","CLOSE PRICE ","LAST PRICE ","SETTLE PRICE ","Volume ","VALUE ","PREMIUM VALUE ","OPEN INTEREST ","CHANGE IN OI "
"15-May-2025","29-May-2025","CE","25,000.00","173.00","379.05","127.95","327.65","321.15","327.65","1,83,71,550","4,63,83,23,28,791.25","4,54,35,78,791.25","48,64,950","-5,33,025"
"14-May-2025","29-May-2025","CE","25,000.00","159.95","219.00","132.10","168.65","173.00","168.65","87,47,625","2,20,25,44,66,245.00","1,56,38,41,245.00","53,97,975","38,175"
"13-May-2025","29-May-2025","CE","25,000.00","333.00","353.35","161.65","172.55","169.70","172.55","1,67,14,275","4,21,61,43,54,967.50","3,75,74,79,967.50","53,59,800","16,85,775"
"12-May-2025","29-May-2025","CE","25,000.00","94.95","370.00","94.95","355.35","362.00","355.35","1,73,79,675","4,38,57,70,59,937.50","4,08,51,84,937.50","36,74,025","-12,02,250"
"09-May-2025","29-May-2025","CE","25,000.00","63.85","89.90","54.95","61.65","65.85","61.65","1,01,22,900","2,53,76,05,06,196.25","68,80,06,196.25","48,76,275","-68,850"
"08-May-2025","29-May-2025","CE","25,000.00","144.00","153.30","85.00","102.45","87.00","102.45","56,52,675","1,41,98,14,99,166.25","66,46,24,166.25","49,45,125","8,42,175"
"07-May-2025","29-May-2025","CE","25,000.00","125.55","178.95","105.85","140.95","144.75","140.95","58,03,050","1,45,89,74,83,177.50","82,12,33,177.50","41,02,950","-20,325"
"06-May-2025","29-May-2025","CE","25,000.00","189.00","189.00","131.70","136.90","132.50","136.90","34,98,075","87,97,55,32,140.00","52,36,57,140.00","41,23,275","1,33,875"
"05-May-2025","29-May-2025","CE","25,000.00","174.95","221.50","172.50","184.40","187.00","184.40","43,88,475","1,10,54,60,65,256.25","83,41,90,256.25","39,89,400","-54,225"
"02-May-2025","29-May-2025","CE","25,000.00","181.00","277.00","144.65","161.65","157.15","161.65","83,54,025","2,10,49,34,51,748.75","1,64,28,26,748.75","40,43,625","5,46,975"
"30-Apr-2025","29-May-2025","CE","25,000.00","155.00","195.00","153.00","179.00","167.00","179.00","35,94,525","90,50,75,86,286.25","64,44,61,286.25","34,96,650","4,80,975"
"29-Apr-2025","29-May-2025","CE","25,000.00","190.00","224.90","171.05","175.95","180.80","175.95","34,48,050","86,87,45,50,923.75","67,33,00,923.75","30,15,675","3,24,225"
"28-Apr-2025","29-May-2025","CE","25,000.00","130.00","198.00","126.85","185.65","189.00","185.65","50,21,625","1,26,39,67,70,595.00","85,61,45,595.00","26,91,450","5,75,400"
"25-Apr-2025","29-May-2025","CE","25,000.00","199.95","214.00","98.65","126.80","120.10","126.80","62,81,175","1,57,88,32,67,381.25","85,38,92,381.25","21,16,050","-83,100"
"24-Apr-2025","29-May-2025","CE","25,000.00","203.05","223.25","177.30","181.35","183.00","181.35","27,93,600","70,37,37,15,187.50","53,37,15,187.50","21,99,150","20,925"
"23-Apr-2025","29-May-2025","CE","25,000.00","190.25","215.50","155.00","207.25","205.00","207.25","39,46,350","99,41,11,79,733.75","75,24,29,733.75","21,78,225","2,51,550"
"22-Apr-2025","29-May-2025","CE","25,000.00","154.00","174.15","134.45","154.60","150.50","154.60","25,23,075","63,46,89,90,982.50","39,21,15,982.50","19,26,675","1,81,800"
"21-Apr-2025","29-May-2025","CE","25,000.00","88.00","162.10","88.00","146.00","144.95","146.00","43,94,250","1,10,44,26,34,725.00","58,63,84,725.00","17,44,875","4,81,425"
"17-Apr-2025","29-May-2025","CE","25,000.00","40.05","99.45","34.90","86.70","85.05","86.70","42,24,825","1,05,91,75,76,006.25","29,69,51,006.25","12,63,450","-66,075"
"16-Apr-2025","29-May-2025","CE","25,000.00","41.05","45.80","32.20","44.25","44.90","44.25","19,74,900","49,44,60,37,166.25","7,35,37,166.25","13,29,525","1,12,800"
"15-Apr-2025","29-May-2025","CE","25,000.00","78.00","78.00","42.60","45.20","46.10","45.20","16,48,125","41,28,72,57,663.75","8,41,32,663.75","12,16,725","4,30,200"
